group,event1,start.time,end.time
1,serious,0:00:00,0:01:52
1,serious,0:01:52,0:02:00
1,silly,0:02:00,0:02:06
1,serious,0:02:06,0:02:48
1,silly,0:02:48,0:03:53
1,serious,0:03:53,0:05:14
1,serious,0:05:14,0:05:30
1,silly,0:05:30,0:06:10
1,serious,0:06:10,0:06:33
1,serious,0:06:33,0:07:26
1,serious,0:07:26,0:07:36
1,serious,0:07:36,0:09:50
1,serious,0:09:50,0:09:59
1,silly,0:09:59,0:10:10
1,serious,0:10:10,0:10:18
1,silly,0:10:18,0:10:58
1,serious,0:10:58,0:11:07
1,silly,0:11:07,0:11:19
1,serious,0:11:19,0:13:16
1,serious,0:13:16,0:13:26
1,silly,0:13:26,0:13:46
1,serious,0:13:46,0:14:00
1,serious,0:14:00,0:14:31
1,silly,0:14:31,0:14:38
1,serious,0:14:38,0:16:55
1,silly,0:16:55,0:17:24
1,serious,0:17:24,0:19:46
1,silly,0:19:46,0:19:52
1,serious,0:19:52,0:20:17
1,silly,0:20:17,0:20:52
1,serious,0:20:52,0:23:20
1,serious,0:23:20,0:23:29
1,serious,0:23:29,0:23:38
1,serious,0:23:38,0:23:50
1,serious,0:23:50,0:24:07
1,serious,0:24:07,0:26:31
1,serious,0:26:31,0:26:40
1,serious,0:26:40,0:26:43
1,silly,0:26:43,0:26:45
1,serious,0:26:45,0:27:13
1,silly,0:27:13,0:27:23
1,serious,0:27:23,0:28:47
1,serious,0:28:47,0:31:48
1,silly,0:31:48,0:31:57
1,serious,0:31:57,0:32:30
1,serious,0:32:30,0:33:00
1,silly,0:33:00,0:34:13
1,serious,0:34:13,0:35:30
1,silly,0:35:30,0:35:43
1,silly,0:35:43,0:36:01
1,serious,0:36:01,0:36:08
1,silly,0:36:08,0:36:29
1,serious,0:36:29,0:36:58
1,silly,0:36:58,0:37:13
1,serious,0:37:13,0:38:12
1,serious,0:38:12,0:40:00
3,serious,0:00:00,0:00:05
3,serious,0:00:05,0:00:15
3,silly,0:00:15,0:01:00
3,serious,0:01:00,0:01:24
3,serious,0:01:24,0:01:27
3,serious,0:01:27,0:03:05
3,silly,0:03:05,0:03:24
3,serious,0:03:24,0:03:46
3,serious,0:03:46,0:04:30
3,serious,0:04:30,0:05:06
3,serious,0:05:06,0:06:38
3,silly,0:06:38,0:06:43
3,serious,0:06:43,0:06:58
3,serious,0:06:58,0:07:12
3,serious,0:07:12,0:07:25
3,silly,0:07:25,0:07:44
3,serious,0:07:44,0:07:46
3,serious,0:07:46,0:07:57
3,serious,0:07:57,0:09:13
3,silly,0:09:13,0:09:28
3,silly,0:09:28,0:09:35
3,serious,0:09:35,0:15:47
3,silly,0:15:47,0:16:03
3,serious,0:16:03,0:17:27
3,silly,0:17:27,0:18:05
3,serious,0:18:05,0:19:29
3,serious,0:19:29,0:20:30
3,serious,0:20:30,0:21:10
3,serious,0:21:10,0:21:17
3,serious,0:21:17,0:22:27
3,silly,0:22:27,0:22:48
3,serious,0:22:48,0:23:50
3,silly,0:23:50,0:24:20
3,serious,0:24:20,0:24:29
3,silly,0:24:29,0:24:40
3,serious,0:24:40,0:25:03
3,silly,0:25:03,0:26:19
3,silly,0:26:19,0:26:21
3,serious,0:26:21,0:28:05
3,serious,0:28:05,0:28:32
3,serious,0:28:32,0:30:00
5,serious,0:00:00,0:00:33
5,serious,0:00:33,0:00:34
5,serious,0:00:34,0:05:45
5,serious,0:05:45,0:10:25
5,silly,0:10:25,0:10:40
5,serious,0:10:40,0:11:27
5,unclear,0:11:27,0:13:19
5,silly,0:13:19,0:13:29
5,serious,0:13:29,0:19:29
5,silly,0:19:29,0:19:36
5,serious,0:19:36,0:20:27
5,silly,0:20:27,0:20:50
5,serious,0:20:50,0:23:28
5,silly,0:23:28,0:23:48
5,serious,0:23:48,0:26:20
5,silly,0:26:20,0:26:25
5,serious,0:26:25,0:27:00
2,off  ,0:00:00,0:01:52
2,Task,0:01:52,0:02:00
2,Task,0:02:00,0:02:06
2,Task,0:02:06,0:02:48
2,off  ,0:02:48,0:03:53
2,Task,0:03:53,0:05:14
2,off  ,0:05:14,0:05:30
2,off  ,0:05:30,0:06:10
2,off  ,0:06:10,0:06:33
2,Task,0:06:33,0:07:26
2,off  ,0:07:26,0:07:36
2,Task,0:07:36,0:09:50
2,off  ,0:09:50,0:09:59
2,off  ,0:09:59,0:10:10
